generation,candidate_id,population_index,source_name,source_type,linear_prefilter_score,parameter_vector,validation_id,candidate_label,candidate_n_modes,candidate_target_fraction,sequence_scale,success,failure_reason,n_trajectory_steps,terminal_R_error_m,terminal_Z_error_m,terminal_Ip_error_A,terminal_RZ_euclidean_error_m,terminal_RZ_box_max_error_m,terminal_normalized_RZ_distance,min_normalized_RZ_distance,min_normalized_RZ_distance_after_step0,min_RZ_euclidean_error_after_step0_m,closest_step_after_step0,closest_velocity_after_step0_m_per_s,relative_distance_reduction,relative_distance_reduction_after_step0,first_step_within_2x_RZ_only,first_step_within_1x_RZ_only,first_step_within_2x,first_step_within_1x,first_step_after_step0_within_2x,first_step_after_step0_within_1x,terminal_within_2x_RZ_only,terminal_within_1x_RZ_only,terminal_within_2x,terminal_within_1x,gate_ip_tolerance_A,terminal_Ip_safe,late_Ip_safe_fraction,late_fraction_within_2x,late_fraction_within_1x,late_R_rms_m,late_Z_rms_m,late_RZ_euclidean_rms_m,terminal_velocity_m_per_s,max_velocity_m_per_s,late_velocity_mean_m_per_s,late_velocity_rms_m_per_s,max_current_utilization,wall_time_s,first_step_after_step0_within_30mm,ever_after_step0_within_30mm,terminal_within_30mm,late_fraction_within_30mm,longest_streak_after_step0_within_30mm_steps,trailing_streak_within_30mm_steps,first_step_after_step0_within_40mm,ever_after_step0_within_40mm,terminal_within_40mm,late_fraction_within_40mm,longest_streak_after_step0_within_40mm_steps,trailing_streak_within_40mm_steps,first_step_after_step0_within_80mm,ever_after_step0_within_80mm,terminal_within_80mm,late_fraction_within_80mm,longest_streak_after_step0_within_80mm_steps,trailing_streak_within_80mm_steps,gate_tier,gate_label,strict_gate_pass,relaxed_gate_pass,terminal_RZ_reduction_vs_zero_action_fraction,continuous_objective,selection_score,position_excess_objective,velocity_excess_objective,precise_streak_deficit,action_rms,delta_action_rms,repair_excess_rms,generation_rank
7,g007_1417404bd2e7a119,163,gaussian_0395,gaussian,2.95363512730307,"[2.140277648746757, 1.4994631350872818, 0.4909813834093269, 1.1150519831541275, 1.9206253373078843, 0.1729989421885526, 0.013768914604392002, 1.9633647537889665, -0.36952679030518293, -0.8399185878825941, -1.333515852555668, 0.19364250845591677, -0.5930808650492356, -0.14370781623367432, -0.18601876369774545]",g007_1417404bd2e7a119,,,,,True,,11,-0.025693610000000033,0.0320691761,848.0435000000034,0.04109250114759276,0.0320691761,1.3697500382530923,0.5817437020072838,0.7820984709676879,0.023462954129030635,1,0.6283325121528797,0.0,-0.3444038470362256,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025860505634244114,0.0327460052710703,0.04172609031375616,0.010563105359928758,0.6492223893009516,0.07617459713157224,0.08660649244890971,0.41104999999999997,775.817446231842,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5267480417426865,38.745721039849926,1000038.7457210398,0.009001018014404597,0.0,1.0,0.45148177620256597,0.23710991374475068,0.05309399769826455,1
6,g006_3be98b52a5b7f41f,158,gaussian_0031,gaussian,2.9838306516429696,"[1.989362268700703, 1.5768072041604755, 0.5259233789363239, 1.3668826283012092, 1.803162384971303, 0.05054796982626877, -0.1600213342849676, 1.873464031080827, -0.3704990663306118, -0.8730950086084733, -1.2408533044990107, 0.07046962378869272, -0.4122169712153869, 0.28123939671016973, -0.2550135076442019]",g006_3be98b52a5b7f41f,,,,,True,,11,-0.025786687999999947,0.0323064568,1035.1728000000003,0.04133594596691368,0.0323064568,1.3778648655637895,0.5817437020072838,0.7822015844905017,0.02346604753471505,1,0.6285860485333787,0.0,-0.3445810960935991,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02602295058345659,0.03290262314731839,0.04194969090521974,0.003758288758585018,0.6497348297088686,0.07086053480063283,0.08221512249766974,0.41,768.3784289360046,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5239443492378808,38.774592428661805,1000038.7745924287,0.0098849666382797,0.0,1.0,0.4401811665939587,0.23613302774262562,0.04286834906651889,1
7,g007_3be98b52a5b7f41f,1,hall_of_fame_best,best,2.9838306516429696,"[1.989362268700703, 1.5768072041604755, 0.5259233789363239, 1.3668826283012092, 1.803162384971303, 0.05054796982626877, -0.1600213342849676, 1.873464031080827, -0.3704990663306118, -0.8730950086084733, -1.2408533044990107, 0.07046962378869272, -0.4122169712153869, 0.28123939671016973, -0.2550135076442019]",g007_3be98b52a5b7f41f,,,,,True,,11,-0.025786687999999947,0.0323064568,1035.1728000000003,0.04133594596691368,0.0323064568,1.3778648655637895,0.5817437020072838,0.7822015844905017,0.02346604753471505,1,0.6285860485333787,0.0,-0.3445810960935991,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02602295058345659,0.03290262314731839,0.04194969090521974,0.003758288758585018,0.6497348297088686,0.07086053480063283,0.08221512249766974,0.41,759.8350515365601,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5239443492378808,38.774592428661805,1000038.7745924287,0.0098849666382797,0.0,1.0,0.4401811665939587,0.23613302774262562,0.04286834906651889,2
6,g006_8c4c3fbdd73b343d,179,gaussian_0334,gaussian,2.999647376510894,"[2.2080261916130266, 1.5652931570973712, 0.6295499775799129, 1.17331169984576, 1.860266002488387, -0.01567817250819968, -0.2011740915024814, 2.455363056318811, -0.35167649181878413, -0.7441292963177263, -1.4615108601692632, 0.06925303588375106, -0.4543551998729099, -0.28730763844725726, -0.0878731208684135]",g006_8c4c3fbdd73b343d,,,,,True,,11,-0.025430057999999978,0.0324082226,861.1819000000032,0.041194426103230444,0.0324082226,1.373147536774348,0.5817437020072838,0.7820968057310327,0.02346290417193098,1,0.6283329443144943,0.0,-0.3444009845442906,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025652666960345093,0.03294171383472253,0.041751836277547485,0.016410751896010663,0.6495450532771204,0.07354564630590303,0.0823799818192366,0.4103,762.5564460754395,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5255741977686346,38.77829380447303,1000038.7782938045,0.010078675965277393,0.0,1.0,0.45595376901107726,0.24769586566242888,0.13190339670599172,2
4,g004_717d1a103d4acfc8,154,gaussian_0569,gaussian,2.914733834831619,"[1.898634526255158, 1.5053858213836644, 0.4909886716763421, 1.4424372451411926, 1.9522237966636806, 0.06079107740434541, -0.1974906023026306, 2.1897905729215434, -0.2786793596881165, -0.8788728693409259, -1.2026510143273523, 0.17763529943001372, -0.08830567526285638, -0.5498035988916342, -0.02143062902209752]",g004_717d1a103d4acfc8,,,,,True,,11,-0.024843174000000023,0.0321144402,713.5302000000011,0.04060197733797768,0.0321144402,1.353399244599256,0.5817437020072838,0.7821940983731166,0.023465822951193496,1,0.628562396035269,0.0,-0.3445682276820301,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025325244613259718,0.032821606357628284,0.041456312650988945,0.009158858021331076,0.6497405664560298,0.08097248377656376,0.09236950089472865,0.41,757.2028453350067,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5323972805816267,38.803112765773925,1000038.8031127658,0.009472594883450725,0.0,1.0,0.4520915026105906,0.23192353419655284,0.0825794134713671,1
5,g005_717d1a103d4acfc8,1,hall_of_fame_best,best,2.914733834831619,"[1.898634526255158, 1.5053858213836644, 0.4909886716763421, 1.4424372451411926, 1.9522237966636806, 0.06079107740434541, -0.1974906023026306, 2.1897905729215434, -0.2786793596881165, -0.8788728693409259, -1.2026510143273523, 0.17763529943001372, -0.08830567526285638, -0.5498035988916342, -0.02143062902209752]",g005_717d1a103d4acfc8,,,,,True,,11,-0.024843174000000023,0.0321144402,713.5302000000011,0.04060197733797768,0.0321144402,1.353399244599256,0.5817437020072838,0.7821940983731166,0.023465822951193496,1,0.628562396035269,0.0,-0.3445682276820301,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025325244613259718,0.032821606357628284,0.041456312650988945,0.009158858021331076,0.6497405664560298,0.08097248377656376,0.09236950089472865,0.41,749.018196105957,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5323972805816267,38.803112765773925,1000038.8031127658,0.009472594883450725,0.0,1.0,0.4520915026105906,0.23192353419655284,0.0825794134713671,1
6,g006_717d1a103d4acfc8,1,hall_of_fame_best,best,2.914733834831619,"[1.898634526255158, 1.5053858213836644, 0.4909886716763421, 1.4424372451411926, 1.9522237966636806, 0.06079107740434541, -0.1974906023026306, 2.1897905729215434, -0.2786793596881165, -0.8788728693409259, -1.2026510143273523, 0.17763529943001372, -0.08830567526285638, -0.5498035988916342, -0.02143062902209752]",g006_717d1a103d4acfc8,,,,,True,,11,-0.024843174000000023,0.0321144402,713.5302000000011,0.04060197733797768,0.0321144402,1.353399244599256,0.5817437020072838,0.7821940983731166,0.023465822951193496,1,0.628562396035269,0.0,-0.3445682276820301,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025325244613259718,0.032821606357628284,0.041456312650988945,0.009158858021331076,0.6497405664560298,0.08097248377656376,0.09236950089472865,0.41,864.6571233272552,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5323972805816267,38.803112765773925,1000038.8031127658,0.009472594883450725,0.0,1.0,0.4520915026105906,0.23192353419655284,0.0825794134713671,3
7,g007_4879e94f4ddd73fc,0,current_mean,state_mean,2.8724603757982914,"[2.0558133785258423, 1.4732893059490553, 0.45761257945261813, 1.2517617222384119, 1.9314277290111799, 0.03940871457335758, -0.13800599900997604, 2.028277516122122, -0.2520917144046796, -0.7461159279074402, -1.1647997821983274, 0.090765616944074, -0.34525730176474106, -0.23026786356512727, -0.03483155862592983]",g007_4879e94f4ddd73fc,,,,,True,,11,-0.025105880999999997,0.031537226,831.5093000000015,0.040310071750881776,0.031537226,1.343669058362726,0.5817437020072838,0.7821294926865843,0.02346388478059753,1,0.6284157939960948,0.0,-0.34445717244187984,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025561657557172227,0.03246828015169669,0.04132296641190225,0.02571590913680551,0.6493642563108785,0.08836839801651113,0.09668395273901928,0.41090000000000004,776.0706295967102,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5357590835106625,38.8228174205563,1000038.8228174206,0.007619121121179372,0.0,1.0,0.4448427006385581,0.22665175689721645,0.04792573077584215,3
7,g007_943748603b4cd145,172,gaussian_0352,gaussian,2.9427083817557365,"[2.1702746177906564, 1.3420738595155202, 0.5309182189251581, 1.1468060565986158, 1.7872350452774226, -0.09114664831608653, -0.22498265607868184, 2.228019067161287, -0.187102588874181, -0.5294228127113354, -1.4755453763860205, -0.04283165531039945, -1.2143636086126715, 0.26324302442904257, -0.24776977061582597]",g007_943748603b4cd145,,,,,True,,11,-0.02666877599999995,0.0312385623,1084.6885000000002,0.041073974581347185,0.0312385623,1.3691324860449063,0.5817437020072838,0.7820028847307156,0.023460086541921464,1,0.6281103655322321,0.0,-0.34423953715776445,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02671069914735921,0.03212385786497165,0.041778028831787134,0.023910238587734268,0.6491875628966203,0.08466618438405867,0.0926913028097292,0.41195,700.6333258152008,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5269614075274561,38.823254152229346,1000038.8232541522,0.005852998476556339,0.0,1.0,0.4683634681106785,0.2617880926739838,0.06179165452683218,4
5,g005_12a6c110989519ca,190,gaussian_0321,gaussian,2.964904189550695,"[2.2200052406465627, 1.3259874248741894, 0.3782535347117742, 1.1282536319922976, 1.9021781120909032, 0.1780950765915347, -0.393464309349134, 1.9772731414438534, -0.191439155912842, -0.40889222384851304, -1.0572832900827969, 0.3573283229915781, -0.9175567053810199, -0.18478496558543817, 0.0782228514163766]",g005_12a6c110989519ca,,,,,True,,11,-0.025691305000000053,0.0318675741,595.3426,0.040933915420125866,0.0318675741,1.364463847337529,0.5817437020072838,0.7820543988390258,0.023461631965170773,1,0.6282499728557757,0.0,-0.34432808836705564,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.02621242898827139,0.03267956809971341,0.04189326443056183,0.02823949192466669,0.6496345254210952,0.07891553253086508,0.08524812292725073,0.4131,753.4875686168671,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5285744335168403,38.834221848555494,1000038.8342218485,0.0086110274264521,0.0,1.0,0.44715388971472186,0.22840864500376337,0.03340155066811857,2
7,g007_39f0bf3ab91c6fc7,151,gaussian_0602,gaussian,2.8920338655765256,"[2.1374171931231047, 1.5708912152333836, 0.550692543001293, 1.4126337250570713, 1.9704032001093643, 0.006641124588495841, -0.2640743282451923, 2.21292185209888, -0.26972286608498774, -0.6688143030425409, -1.1679747800728668, 0.1963857825528536, -0.9253373704161909, -0.0873969739207974, -0.2991661400601177]",g007_39f0bf3ab91c6fc7,,,,,True,,11,-0.025053579000000048,0.0316357586,933.2381000000023,0.04035471524997689,0.0316357586,1.34515717499923,0.5817437020072838,0.7821192945105773,0.023463578835317318,1,0.62838076945418,0.0,-0.34443964208276845,0,0,0,0,1,1,True,False,True,False,10000.0,True,1.0,1.0,0.0,0.025637998997151332,0.03247846104379875,0.041378224035735094,0.028640395669314738,0.6492588874393714,0.08829136434349902,0.09589763726447499,0.4103,751.4864251613617,1,True,False,0.0,2,0,1,True,True,1.0,10,10,1,True,True,1.0,10,10,1,PASS_DAMPED_HOLD_40MM,False,True,0.5352449356058091,38.86481866647355,1000038.8648186665,0.00759638530394785,0.0,1.0,0.45545208366083045,0.2323613350440819,0.09518004574869743,5
